stamp,x,y,yaw,v,w
1786167428.8770256,1.0718955951740121,0.08659242593399934,0.12850716590709285,0.6010948233651767,-0.12665699127539182
1786167428.8973591,1.0828050944816048,0.0881160024768873,0.1263637294478359,0.584405525456589,-0.10541389593489293
1786167428.9171898,1.0932864609829611,0.0895546479373258,0.12423039275131935,0.5755412479174913,-0.10757745791509732
1786167428.937128,1.1040253453691609,0.09100227183442938,0.12198009285361097,0.5863311349457502,-0.1128635711212631
1786167428.9571233,1.1147634354968894,0.09242207723615924,0.1196167200274049,0.5844416958306325,-0.11819693437683243
1786167428.9771,1.124988322636652,0.09374643763079461,0.11714708983637176,0.5568565668330534,-0.12362605371617742
1786167428.997302,1.1352302013538986,0.09504584641016821,0.11486437153633605,0.5513916511502549,-0.11299377459712631
1786167429.0167475,1.1452190553450654,0.09630031676386398,0.11488413686963189,0.5586186813398065,0.0010164518943607576
1786167429.0371046,1.1559182410845081,0.09765722513942993,0.11720450273385077,0.5716236232461109,0.1139829455841458
1786167429.0568879,1.1660588870519124,0.09898127124811044,0.12179769128233621,0.5577324123192413,0.2321755317939511
1786167429.076925,1.1760716346202995,0.10035811724939633,0.12992803633723665,0.5441599184877001,0.4057630563902475
1786167429.096794,1.1859707007879106,0.10181792578334761,0.13997957613640324,0.5432102533653067,0.5058943744096632
1786167429.1172633,1.196490861439125,0.10348237809674889,0.14948590438125842,0.5611569753724833,0.46441594062907054
